path,category,bytes
.devin/environment.yaml,infra_deployment,7558
.github/CODEOWNERS,infra_deployment,694
.github/copilot-instructions.md,infra_deployment,4910
.github/ISSUE_TEMPLATE/bug_report.md,infra_deployment,460
.github/ISSUE_TEMPLATE/feature_request.md,infra_deployment,403
.github/pull_request_template.md,infra_deployment,720
.github/workflows/ci.yml,infra_deployment,5310
.github/workflows/claude-ai-integration.yml,infra_deployment,5967
.github/workflows/deploy.yml,infra_deployment,5639
100_PERCENT_COMPLETION_CERTIFICATE.md,project_documentation,8353
AFRERA_CLAUDE_BUILD_DIRECTIVE.md,project_documentation,51122
AGENT_PROTOCOL.md,project_documentation,6945
AI_IMAGE_GENERATION_INTEGRATION_GUIDE.md,project_documentation,13523
AI_SERVICES_ANALYSIS.md,project_documentation,3267
API_ENDPOINT_MAPPING_MATRIX.md,project_documentation,11741
ARCHITECTURAL_DECISION_RECORD.md,project_documentation,35739
AUTO_DISCOVERY_IMPLEMENTATION.md,project_documentation,19562
AUTO_DISCOVERY_QUICK_START.md,project_documentation,13980
AUTO_IMAGE_GENERATION_SETUP.md,project_documentation,14602
backend/API_DOCUMENTATION.md,project_documentation,2293
backend/docker-compose.yml,infra_deployment,5122
backend/Dockerfile,infra_deployment,2614
backend/src/cache/redis.js,backend_runtime,6154
backend/src/config/productionConfig.js,backend_runtime,1472
backend/src/controllers/aiBackboneController.js,backend_runtime,2947
backend/src/controllers/bulkOrderController.js,backend_runtime,6428
backend/src/controllers/completeAIIntegrationController.js,backend_runtime,13533
backend/src/controllers/completeERPIntegrationController.js,backend_runtime,12625
backend/src/controllers/comprehensiveERPController.js,backend_runtime,23620
backend/src/controllers/cropValueResearchController.js,backend_runtime,1740
backend/src/controllers/defenseFitnessPrepController.js,backend_runtime,2077
backend/src/controllers/devinController.js,backend_runtime,4045
backend/src/controllers/ecommerceAIController.js,backend_runtime,6998
backend/src/controllers/ecommerceBusinessSalesController.js,backend_runtime,6252
backend/src/controllers/ecommerceController.js,backend_runtime,12655
backend/src/controllers/ecommerceERPController.js,backend_runtime,4943
backend/src/controllers/ecommerceIntegrationController.js,backend_runtime,8233
backend/src/controllers/ecommerceMarketingController.js,backend_runtime,7639
backend/src/controllers/farmerTrainingController.js,backend_runtime,4042
