relative_path,bytes,target_sha256,source_sha256,copy_status
.devin/environment.yaml,7558,ff918c4f643557c6d0f48c0c9ca9bf949c2ce3cede9b949f1ea0fab617e926b5,ff918c4f643557c6d0f48c0c9ca9bf949c2ce3cede9b949f1ea0fab617e926b5,verified-identical
.github/CODEOWNERS,694,0e825bbf4ed5526b3ea99218d79cba0d26df5245b98da28f4c7b6430a53a8c4b,0e825bbf4ed5526b3ea99218d79cba0d26df5245b98da28f4c7b6430a53a8c4b,verified-identical
.github/copilot-instructions.md,4910,427698eaeae69cfcd96fb554fa6e7f4865fb78e2d9e7364b15cfee75c39c8704,427698eaeae69cfcd96fb554fa6e7f4865fb78e2d9e7364b15cfee75c39c8704,verified-identical
.github/ISSUE_TEMPLATE/bug_report.md,460,554000e79cdfe4e85d2af5b143c09a65176eaa11ebf11fc46562d94c48d52dc1,554000e79cdfe4e85d2af5b143c09a65176eaa11ebf11fc46562d94c48d52dc1,verified-identical
.github/ISSUE_TEMPLATE/feature_request.md,403,55024c83a7aa43d094c498a34ba62274d47ceae38e553a572e2bf4bb0467af16,55024c83a7aa43d094c498a34ba62274d47ceae38e553a572e2bf4bb0467af16,verified-identical
.github/pull_request_template.md,720,684e3a81a9f4691e0279357dffc4fc8c2f392edf1419787db8109cd247b688ec,684e3a81a9f4691e0279357dffc4fc8c2f392edf1419787db8109cd247b688ec,verified-identical
.github/workflows/ci.yml,5310,903ede4a9ed5f8a6a34836c0f3225cc34d6142d064d94fb90059d5d33ceb5fc0,903ede4a9ed5f8a6a34836c0f3225cc34d6142d064d94fb90059d5d33ceb5fc0,verified-identical
.github/workflows/claude-ai-integration.yml,5967,727cc8c4c53f210c42b8f9b629982bff2904ebee798a1d8f81dd333065030d91,727cc8c4c53f210c42b8f9b629982bff2904ebee798a1d8f81dd333065030d91,verified-identical
.github/workflows/deploy.yml,5639,37223e8868eb937e9cf5c469779eaf11c34f3e512ce66a4e3cd3e6dfa958b1d8,37223e8868eb937e9cf5c469779eaf11c34f3e512ce66a4e3cd3e6dfa958b1d8,verified-identical
.github/workflows/pages-preview.yml,1378,ae469751045b8bfdf60b5d23d30824c36b8ba527dcfa07b8a3e2731b67035d19,ae469751045b8bfdf60b5d23d30824c36b8ba527dcfa07b8a3e2731b67035d19,verified-identical
.github/workflows/production-hardening.yml,5349,880192332aff1c30851b0a8584be9c8c85a899a7d090d30e20e3019dc83acc53,880192332aff1c30851b0a8584be9c8c85a899a7d090d30e20e3019dc83acc53,verified-identical
100_PERCENT_COMPLETION_CERTIFICATE.md,8353,fa091b722c91549ef5400b999b09ff8df16c5f5c34f636bc7afbc1d4f3b60876,fa091b722c91549ef5400b999b09ff8df16c5f5c34f636bc7afbc1d4f3b60876,verified-identical
AFRERA_CLAUDE_BUILD_DIRECTIVE.md,51122,c962d78d6204ca544d14e7b9672c1d17254ffa2de81e8b43d3475d61a653fdc4,c962d78d6204ca544d14e7b9672c1d17254ffa2de81e8b43d3475d61a653fdc4,verified-identical
AGENT_PROTOCOL.md,6945,acceadb4a199232dbc8c7d5344c53abe9a83fb3354db583d17e5182b2597983c,acceadb4a199232dbc8c7d5344c53abe9a83fb3354db583d17e5182b2597983c,verified-identical
AI_IMAGE_GENERATION_INTEGRATION_GUIDE.md,13523,7e9c027de7fbc1256300d66e1d556048848a2d5636faf12e0f59f2193e6a3b02,7e9c027de7fbc1256300d66e1d556048848a2d5636faf12e0f59f2193e6a3b02,verified-identical
AI_SERVICES_ANALYSIS.md,3267,d88eb029ea24e876ac10b6a34060b816657f37840b50c7d396ebcc5e3c8e3382,d88eb029ea24e876ac10b6a34060b816657f37840b50c7d396ebcc5e3c8e3382,verified-identical
API_ENDPOINT_MAPPING_MATRIX.md,11741,84b9df6ca7b8c7fe106d27b6030eae278d68d729c61f679aab2ce7de3a66855f,84b9df6ca7b8c7fe106d27b6030eae278d68d729c61f679aab2ce7de3a66855f,verified-identical
ARCHITECTURAL_DECISION_RECORD.md,35739,f82b319de460c1712ca354f9257999b1c969c029c67037066b31f37271f5ee71,f82b319de460c1712ca354f9257999b1c969c029c67037066b31f37271f5ee71,verified-identical
AUTO_DISCOVERY_IMPLEMENTATION.md,19562,d84f247e8d94a6b51e720ad176207560db839f4502b5880cf2b35bf9d8c36b26,d84f247e8d94a6b51e720ad176207560db839f4502b5880cf2b35bf9d8c36b26,verified-identical
AUTO_DISCOVERY_QUICK_START.md,13980,507e0c2b0a35ff47b012f114943ff25a7878bd0ad89315b115fb6837d0d84009,507e0c2b0a35ff47b012f114943ff25a7878bd0ad89315b115fb6837d0d84009,verified-identical
AUTO_IMAGE_GENERATION_SETUP.md,14602,b012cf9e85326fdfa5f45c1e81625b2ca37508ee3cde39388a7b1402ece5d2bb,b012cf9e85326fdfa5f45c1e81625b2ca37508ee3cde39388a7b1402ece5d2bb,verified-identical
backend/API_DOCUMENTATION.md,2293,a2e56bd8da731deb7bdc7e5e2b22ec211406af26e13bbfb428832eff5467b543,a2e56bd8da731deb7bdc7e5e2b22ec211406af26e13bbfb428832eff5467b543,verified-identical
backend/docker-compose.yml,5122,21046fd2f270754a08ebba24ec3c941e4a27de76b074ea03e10eb81b148c83a7,21046fd2f270754a08ebba24ec3c941e4a27de76b074ea03e10eb81b148c83a7,verified-identical
backend/Dockerfile,2614,7d602127eeeff17bb4bb8c16f6607e35a233850c8bf665d01545477f244318d8,7d602127eeeff17bb4bb8c16f6607e35a233850c8bf665d01545477f244318d8,verified-identical
backend/src/cache/redis.js,6154,421296eb5af8063612689fb6b01c057505607c7d2b8936447617211163c2999b,421296eb5af8063612689fb6b01c057505607c7d2b8936447617211163c2999b,verified-identical
backend/src/config/productionConfig.js,1472,9ca6acaac9a95438796ef52447dd7bcfdfad09049c60e46178ddd1333c2c7878,9ca6acaac9a95438796ef52447dd7bcfdfad09049c60e46178ddd1333c2c7878,verified-identical
backend/src/controllers/aiBackboneController.js,2947,1849c647b9c77d7f0c755584bf639d0e0ef6b1f96777977a641545c279b9f1c2,1849c647b9c77d7f0c755584bf639d0e0ef6b1f96777977a641545c279b9f1c2,verified-identical
backend/src/controllers/bulkOrderController.js,6428,fc656af8676ef5f11ff074ef858a9507ae16b43a39b69a765dc6fd0848e52615,fc656af8676ef5f11ff074ef858a9507ae16b43a39b69a765dc6fd0848e52615,verified-identical
backend/src/controllers/completeAIIntegrationController.js,13533,df18d7e81314d74c6433ac0dc0b83f7096bda3fc19949c5fad71e1b04fb02372,df18d7e81314d74c6433ac0dc0b83f7096bda3fc19949c5fad71e1b04fb02372,verified-identical
backend/src/controllers/completeERPIntegrationController.js,12625,c967af457052aa09d386e3edea103a6fe5ef2da4de6ecd6200888fedf3007a90,c967af457052aa09d386e3edea103a6fe5ef2da4de6ecd6200888fedf3007a90,verified-identical
backend/src/controllers/comprehensiveERPController.js,23620,edab09da745de303b2edff6755e71195d2051a25b2e82872d83ba66b0ea7bd53,edab09da745de303b2edff6755e71195d2051a25b2e82872d83ba66b0ea7bd53,verified-identical
backend/src/controllers/cropValueResearchController.js,1740,1a4ae968e9981b5e6a102734f3dca8008943455f21178e447d7a5890dc3c5b08,1a4ae968e9981b5e6a102734f3dca8008943455f21178e447d7a5890dc3c5b08,verified-identical
backend/src/controllers/defenseFitnessPrepController.js,2077,29b77e153350829ec2e5e28c4af177f3559c5fe3a6b17e2a9643c71b55d65454,29b77e153350829ec2e5e28c4af177f3559c5fe3a6b17e2a9643c71b55d65454,verified-identical
backend/src/controllers/devinController.js,4045,3f5f2e9b73aecf1ad6f3c0ade3cb9bfaaca403a68de25e539c7f853a9cac7e98,3f5f2e9b73aecf1ad6f3c0ade3cb9bfaaca403a68de25e539c7f853a9cac7e98,verified-identical
backend/src/controllers/ecommerceAIController.js,6998,6ee55f694665b0421606e6c15e207f9a335826c0f50091f2f3d535b931a464cb,6ee55f694665b0421606e6c15e207f9a335826c0f50091f2f3d535b931a464cb,verified-identical
backend/src/controllers/ecommerceBusinessSalesController.js,6252,fd798798352d657bb7946876a555097b848410f6c58f8cc8ab244efd675b1e6c,fd798798352d657bb7946876a555097b848410f6c58f8cc8ab244efd675b1e6c,verified-identical
