"File","Size","HasAxiosCreate","HasBaseURL","HasFetch","HasApiMethods"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\aiDecisionService.js","2347","False","False","False","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\aiDecisionService.test.js","1100","False","False","False","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","275849","True","True","False","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\apiClient.js","2326","True","True","False","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\artificialScientistAPI.js","1222","False","False","False","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\authService.js","1293","False","False","False","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\commerceApi.js","3163","False","False","False","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\componentApi.js","4872","False","False","False","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\coreApi.js","1910","False","False","False","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\farmerService.js","1481","False","False","False","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\index.js","550","False","False","False","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\machineryVillageOpsService.js","2261","False","False","False","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\marketplaceService.js","1538","False","False","False","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\offlineQueue.js","3499","False","False","False","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\operationsApi.js","3151","False","False","False","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\realTimeService.jsx","14240","False","False","True","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\soilNutrientLandService.js","2186","False","False","False","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\vendorProcurementService.js","3098","False","False","False","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\villageAPI.js","5149","True","True","False","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\warningAPI.js","4290","False","False","False","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\waterIrrigationService.js","2522","False","False","False","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\__tests__\villageProfileAPI.test.js","1944","False","False","False","False"
