"File","Import","ExpectedResolvedApi","Exists","CentralApiExists"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components\AIImageGenerator.jsx","../services/api","C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","True","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\components\AIImageGenerator.test.jsx","../services/api","C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","True","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\modules\criticalModules.test.jsx","../services/api","C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","True","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\AdminDashboardPage.jsx","../services/api","C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","True","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\AdvancedAnalyticsDashboard.jsx","../services/api","C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","True","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\AdvancedSearchPage.jsx","../services/api","C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","True","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\AgriculturalIntelligencePage.jsx","../services/api","C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","True","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\AIAgentPage.jsx","../services/api","C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","True","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\AIBackbonePage.jsx","../services/api","C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","True","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\AIBrainPage.jsx","../services/api","C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","True","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\AIDashboard.jsx","../services/api","C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","True","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\AIOperationIntelligencePage.jsx","../services/api","C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","True","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\AIProductStudioPage.jsx","../services/api","C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","True","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\AISelfHealingPage.jsx","../services/api","C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","True","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\AnimalHealthPage.jsx","../services/api","C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","True","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\AssetAccountingPage.jsx","../services/api","C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","True","True"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\AuthorizationPage.jsx","../services/api","C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","True","True"
