"FrontendFile","Method","RawPath","Status"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","GET","/water-optimization","NO_STATIC_BACKEND_MATCH"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","GET","/digital-campaign","NO_STATIC_BACKEND_MATCH"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\modules\M244\M244.jsx","GET","/api/v1/backend-modules/M244/","EXACT_METHOD_PATH"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","POST","/farmer-health-records","NO_STATIC_BACKEND_MATCH"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","POST","/mfa/setup","NO_STATIC_BACKEND_MATCH"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","GET","/skill-development","NO_STATIC_BACKEND_MATCH"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","PUT","/farmer-profile","NO_STATIC_BACKEND_MATCH"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","GET","/farmers/geo/states","NO_STATIC_BACKEND_MATCH"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","GET","/human-development","NO_STATIC_BACKEND_MATCH"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","POST","/vision/manage","NO_STATIC_BACKEND_MATCH"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","GET","/inspection-resilience-farming","NO_STATIC_BACKEND_MATCH"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","GET","/alert-manager","NO_STATIC_BACKEND_MATCH"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","GET","/library/enterprise-index/activity/ledger/summary","NO_STATIC_BACKEND_MATCH"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","GET","/finance","NO_STATIC_BACKEND_MATCH"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","POST","/metering/manage","NO_STATIC_BACKEND_MATCH"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\modules\M344\M344.jsx","GET","/api/v1/backend-modules/M344/","EXACT_METHOD_PATH"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","GET","/elasticsearch-data","NO_STATIC_BACKEND_MATCH"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","GET","/lab/tests","NO_STATIC_BACKEND_MATCH"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","GET","/technology-transfer","NO_STATIC_BACKEND_MATCH"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","GET","/surveillance","NO_STATIC_BACKEND_MATCH"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","POST","/photos/upload","NO_STATIC_BACKEND_MATCH"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","POST","/floriculture/record","NO_STATIC_BACKEND_MATCH"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","POST","/cassandra-data/query","NO_STATIC_BACKEND_MATCH"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","GET","/subsidy-ops/track","NO_STATIC_BACKEND_MATCH"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","POST","/shipping/manage","NO_STATIC_BACKEND_MATCH"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\modules\M96\M96.jsx","GET","/api/v1/backend-modules/M096/","EXACT_METHOD_PATH"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","GET","/processes","NO_STATIC_BACKEND_MATCH"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","POST","/crop-recommendations/get","NO_STATIC_BACKEND_MATCH"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","GET","/ecosystem-services-farming","NO_STATIC_BACKEND_MATCH"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","POST","/organic-input/item","NO_STATIC_BACKEND_MATCH"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\modules\M343\M343.jsx","GET","/api/v1/backend-modules/M343/","EXACT_METHOD_PATH"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","GET","/plantations","NO_STATIC_BACKEND_MATCH"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","POST","/equipment-exchange/exchange","NO_STATIC_BACKEND_MATCH"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\pages\modules\M31\M31.jsx","GET","/api/v1/backend-modules/M031/","EXACT_METHOD_PATH"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","GET","/digital-identity/identities","NO_STATIC_BACKEND_MATCH"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","POST","/ai-agent/coordinate","NO_STATIC_BACKEND_MATCH"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","GET","/logistics-enhancement/temperature-alerts","NO_STATIC_BACKEND_MATCH"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","GET","/coupons","NO_STATIC_BACKEND_MATCH"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","POST","/deep-learning-farming/implement","NO_STATIC_BACKEND_MATCH"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\api.js","POST","/harvest-management/manage","NO_STATIC_BACKEND_MATCH"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src\services\operationsApi.js","POST","/insurance/claims","NO_STATIC_BACKEND_MATCH"
