"path","filename","hasTodo","hasThrow","exports","hasTest"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\advancedAIService.js","advancedAIService.js","System.Object[]","System.Object[]","System.Object[]","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\advancedFeaturesService.js","advancedFeaturesService.js","System.Object[]","System.Object[]","System.Object[]","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\advancedVoiceAI.js","advancedVoiceAI.js","System.Object[]","System.Object[]","System.Object[]","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\aiCopilotService.js","aiCopilotService.js","System.Object[]","System.Object[]","System.Object[]","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\aiService.js","aiService.js","System.Object[]","System.Object[]","System.Object[]","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\analyticsService.js","analyticsService.js","System.Object[]","System.Object[]","System.Object[]","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\arVrService.js","arVrService.js","System.Object[]","System.Object[]","System.Object[]","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\auditService.js","auditService.js","System.Object[]","System.Object[]","System.Object[]","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\authService.js","authService.js","System.Object[]","System.Object[]","System.Object[]","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\biodiversityService.js","biodiversityService.js","System.Object[]","System.Object[]","System.Object[]","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\blockchainTraceabilityService.js","blockchainTraceabilityService.js","System.Object[]","System.Object[]","System.Object[]","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\bulkOrderService.js","bulkOrderService.js","System.Object[]","System.Object[]","System.Object[]","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\catalogIntelligenceService.js","catalogIntelligenceService.js","System.Object[]","System.Object[]","System.Object[]","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\commerceRulesService.js","commerceRulesService.js","System.Object[]","System.Object[]","System.Object[]","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\consumerHealthService.js","consumerHealthService.js","System.Object[]","System.Object[]","System.Object[]","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\conversationalAIService.js","conversationalAIService.js","System.Object[]","System.Object[]","System.Object[]","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\costService.js","costService.js","System.Object[]","System.Object[]","System.Object[]","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\cropPlanningService.js","cropPlanningService.js","System.Object[]","System.Object[]","System.Object[]","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\decisionSupportService.js","decisionSupportService.js","System.Object[]","System.Object[]","System.Object[]","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\demandService.js","demandService.js","System.Object[]","System.Object[]","System.Object[]","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\digitalProductPassportService.js","digitalProductPassportService.js","System.Object[]","System.Object[]","System.Object[]","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\dynamicPricingService.js","dynamicPricingService.js","System.Object[]","System.Object[]","System.Object[]","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\enterpriseAIService.js","enterpriseAIService.js","System.Object[]","System.Object[]","System.Object[]","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\enterpriseControlService.js","enterpriseControlService.js","System.Object[]","System.Object[]","System.Object[]","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\erpService.js","erpService.js","System.Object[]","System.Object[]","System.Object[]","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\farmerService.js","farmerService.js","System.Object[]","System.Object[]","System.Object[]","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\farmerTrainingService.js","farmerTrainingService.js","System.Object[]","System.Object[]","System.Object[]","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\farmerValueService.js","farmerValueService.js","System.Object[]","System.Object[]","System.Object[]","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\financialService.js","financialService.js","System.Object[]","System.Object[]","System.Object[]","False"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\services\foodIntelligenceService.js","foodIntelligenceService.js","System.Object[]","System.Object[]","System.Object[]","False"
