"Source","Target","Pattern"
"backend/src/core/nervousSystem.js","../services/orderProcessingService","OTHER"
"backend/src/integrations/stripeIntegrationComplete.js","../services/emailService","OTHER"
"backend/src/modules/M100100_LOGISTICSENHANCEMENT/frontend/pages/LogisticsProviderPage.jsx","../services/api","MISSING_API_BRIDGE"
"backend/src/modules/M101_LIVESTOCK_MANAGEMENT/frontend/pages/LivestockManagementPage.jsx","../services/api","MISSING_API_BRIDGE"
"backend/src/modules/M101_LIVESTOCK_MANAGEMENT/frontend/pages/LivestockManagementPage.jsx","../components/common/ResourceManager","MISSING_SHARED_COMPONENT"
"backend/src/modules/M102_DAIRY_MANAGEMENT/frontend/pages/DairyManagementPage.jsx","../services/api","MISSING_API_BRIDGE"
"backend/src/modules/M103_FISHERIES_MANAGEMENT/frontend/pages/FisheriesManagementPage.jsx","../services/api","MISSING_API_BRIDGE"
"backend/src/modules/M103_FISHERIES_MANAGEMENT/frontend/pages/FisheriesManagementPage.jsx","../components/common/ResourceManager","MISSING_SHARED_COMPONENT"
"backend/src/modules/M104_SOIL_MANAGEMENT/frontend/pages/SoilManagementPage.jsx","../services/api","MISSING_API_BRIDGE"
"backend/src/modules/M104_SOIL_MANAGEMENT/frontend/pages/SoilManagementPage.jsx","../components/common/ResourceManager","MISSING_SHARED_COMPONENT"
"backend/src/modules/M105_WEATHER_INTELLIGENCE/frontend/pages/ClimateWeatherPage.jsx","../services/api","MISSING_API_BRIDGE"
"backend/src/modules/M105_WEATHER_INTELLIGENCE/frontend/pages/ClimateWeatherPage.jsx","../components/common/DataPrimitives","MISSING_SHARED_COMPONENT"
"backend/src/modules/M108_FERTILIZER_MANAGEMENT/frontend/pages/FertilizerInventoryPage.jsx","../services/api","MISSING_API_BRIDGE"
"backend/src/modules/M109_SEED_MANAGEMENT/frontend/pages/SeedVaultPage.jsx","../services/api","MISSING_API_BRIDGE"
"backend/src/modules/M18100_POULTRY/frontend/pages/PoultryManagementPage.jsx","../services/api","MISSING_API_BRIDGE"
"backend/src/modules/M200_ORGANIZATION_MANAGEMENT/frontend/pages/PlatformManagementPage.jsx","../components/ui/Dashboard","MISSING_UI_COMPONENT"
"backend/src/modules/M200_ORGANIZATION_MANAGEMENT/frontend/pages/PlatformManagementPage.jsx","../components/ui/AIInsightsPanel","MISSING_UI_COMPONENT"
"backend/src/modules/M200_ORGANIZATION_MANAGEMENT/frontend/pages/PlatformManagementPage.jsx","../components/ui/common","MISSING_UI_COMPONENT"
"backend/src/modules/M200_ORGANIZATION_MANAGEMENT/frontend/pages/PlatformManagementPage.jsx","../services/api","MISSING_API_BRIDGE"
"backend/src/modules/M290100_MACHINERYACCESS/frontend/pages/MachineryManagementPage.jsx","../services/api","MISSING_API_BRIDGE"
"backend/src/modules/M290100_MACHINERYACCESS/frontend/pages/MachineryManagementPage.jsx","../components/common/ResourceManager","MISSING_SHARED_COMPONENT"
