group_id,library_id,original_path,sha256,action,precondition
MERGE-33DABCDA9AA47002,EBDLIB-1F0F8C4BCBBB818B,C:\Users\DIYA GOEL\Downloads\EBDESIGN.local-backups\backend-frontend-api-implementation-stats_20260909_2217\.env.docker,572b336f46f25dd8f29e23185c836c330c6b24fd0a03d82f003b07860117e947,exclude-from-new-unified-project,canonical hash verified; original source remains untouched
MERGE-33DABCDA9AA47002,EBDLIB-65E38A48F7D4B691,C:\Users\DIYA GOEL\Downloads\EBDESIGN.worktrees\semantic-index-integration-enhancement\.env.docker,572b336f46f25dd8f29e23185c836c330c6b24fd0a03d82f003b07860117e947,exclude-from-new-unified-project,canonical hash verified; original source remains untouched
MERGE-33DABCDA9AA47002,EBDLIB-6179423F7E461F50,C:\Users\DIYA GOEL\Downloads\EBDESIGN.worktrees\resume-and-also-add-attachment-pasted-text-1\.env.docker,572b336f46f25dd8f29e23185c836c330c6b24fd0a03d82f003b07860117e947,exclude-from-new-unified-project,canonical hash verified; original source remains untouched
MERGE-33DABCDA9AA47002,EBDLIB-2CB6C69A7CE14310,C:\Users\DIYA GOEL\Downloads\EBDESIGN.worktrees\resolve-all-backend-and-frontend-issues-there-is\.env.docker,572b336f46f25dd8f29e23185c836c330c6b24fd0a03d82f003b07860117e947,exclude-from-new-unified-project,canonical hash verified; original source remains untouched
MERGE-33DABCDA9AA47002,EBDLIB-7195CC572F4C5912,C:\Users\DIYA GOEL\Downloads\EBDESIGN.worktrees\integration-devin-key-apk\.env.docker,572b336f46f25dd8f29e23185c836c330c6b24fd0a03d82f003b07860117e947,exclude-from-new-unified-project,canonical hash verified; original source remains untouched
MERGE-33DABCDA9AA47002,EBDLIB-089501BD7D332953,C:\Users\DIYA GOEL\Downloads\EBDESIGN.worktrees\backend-frontend-api-implementation-stats\.env.docker,572b336f46f25dd8f29e23185c836c330c6b24fd0a03d82f003b07860117e947,exclude-from-new-unified-project,canonical hash verified; original source remains untouched
MERGE-33DABCDA9AA47002,EBDLIB-F3AC63E28E060292,C:\Users\DIYA GOEL\Documents\GitHub\AFRERA-EBDESIGN-project\.env.docker,572b336f46f25dd8f29e23185c836c330c6b24fd0a03d82f003b07860117e947,exclude-from-new-unified-project,canonical hash verified; original source remains untouched
MERGE-9ECCF532558CCE32,EBDLIB-8A3A5A990C64A674,C:\Users\DIYA GOEL\Downloads\EBDESIGN.local-backups\backend-frontend-api-implementation-stats_20260909_2217\ACCESSIBILITY_AUDIT_REPORT.md,e66266ea958a1ecc28787f94f92c47de302cd9190d9f5f69e42c51dc5d1d688c,exclude-from-new-unified-project,canonical hash verified; original source remains untouched
MERGE-9ECCF532558CCE32,EBDLIB-58EFA99A9A65C491,C:\Users\DIYA GOEL\Downloads\EBDESIGN.worktrees\semantic-index-integration-enhancement\ACCESSIBILITY_AUDIT_REPORT.md,e66266ea958a1ecc28787f94f92c47de302cd9190d9f5f69e42c51dc5d1d688c,exclude-from-new-unified-project,canonical hash verified; original source remains untouched
MERGE-9ECCF532558CCE32,EBDLIB-E09DCD98D63EDBDF,C:\Users\DIYA GOEL\Downloads\EBDESIGN.worktrees\resume-and-also-add-attachment-pasted-text-1\ACCESSIBILITY_AUDIT_REPORT.md,e66266ea958a1ecc28787f94f92c47de302cd9190d9f5f69e42c51dc5d1d688c,exclude-from-new-unified-project,canonical hash verified; original source remains untouched
MERGE-9ECCF532558CCE32,EBDLIB-AC234FB7395F62D6,C:\Users\DIYA GOEL\Downloads\EBDESIGN.worktrees\resolve-all-backend-and-frontend-issues-there-is\ACCESSIBILITY_AUDIT_REPORT.md,e66266ea958a1ecc28787f94f92c47de302cd9190d9f5f69e42c51dc5d1d688c,exclude-from-new-unified-project,canonical hash verified; original source remains untouched
MERGE-9ECCF532558CCE32,EBDLIB-A87F866177B6CE3E,C:\Users\DIYA GOEL\Downloads\EBDESIGN.worktrees\integration-devin-key-apk\ACCESSIBILITY_AUDIT_REPORT.md,e66266ea958a1ecc28787f94f92c47de302cd9190d9f5f69e42c51dc5d1d688c,exclude-from-new-unified-project,canonical hash verified; original source remains untouched
MERGE-9ECCF532558CCE32,EBDLIB-E38F89A11E9EADE5,C:\Users\DIYA GOEL\Downloads\EBDESIGN.worktrees\backend-frontend-api-implementation-stats\ACCESSIBILITY_AUDIT_REPORT.md,e66266ea958a1ecc28787f94f92c47de302cd9190d9f5f69e42c51dc5d1d688c,exclude-from-new-unified-project,canonical hash verified; original source remains untouched
MERGE-9ECCF532558CCE32,EBDLIB-496DF0711D3F338E,C:\Users\DIYA GOEL\Documents\GitHub\AFRERA-EBDESIGN-project\ACCESSIBILITY_AUDIT_REPORT.md,e66266ea958a1ecc28787f94f92c47de302cd9190d9f5f69e42c51dc5d1d688c,exclude-from-new-unified-project,canonical hash verified; original source remains untouched
MERGE-3DAA234E0D8A33FC,EBDLIB-92E56263B92AEF18,C:\Users\DIYA GOEL\Downloads\EBDESIGN.local-backups\backend-frontend-api-implementation-stats_20260909_2217\ACTUAL_RESOLUTION_STATUS.md,5758b9e44c8302a2a448e6778f1d0ba70e6f29ca67505089aa7cb3b620a8ef09,exclude-from-new-unified-project,canonical hash verified; original source remains untouched
