"SystemRoot","SystemName","MarkerCount","PackageJson","SolutionFiles","ProjectFiles"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN","EBDESIGN","3","False","0","0"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\.claude\worktrees\confident-satoshi-a53ac8\backend","backend","2","True","0","0"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\.claude\worktrees\confident-satoshi-a53ac8\frontend","frontend","2","True","0","0"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\.claude\worktrees\enterprise-audit","enterprise-audit","3","False","0","0"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\.claude\worktrees\enterprise-audit\backend","backend","2","True","0","0"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\.claude\worktrees\enterprise-audit\backend\services\local-image-gen","local-image-gen","1","False","0","0"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\.claude\worktrees\enterprise-audit\frontend","frontend","4","True","0","0"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\.claude\worktrees\enterprise-audit\frontend\android","android","2","False","0","0"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\.claude\worktrees\enterprise-audit\frontend\android\app","app","1","False","0","0"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\.claude\worktrees\enterprise-audit\frontend\src-tauri","src-tauri","1","False","0","0"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\.claude\worktrees\intelligent-sutherland-9f1488","intelligent-sutherland-9f1488","3","False","0","0"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\.claude\worktrees\intelligent-sutherland-9f1488\backend","backend","2","True","0","0"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\.claude\worktrees\intelligent-sutherland-9f1488\frontend","frontend","4","True","0","0"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\.claude\worktrees\intelligent-sutherland-9f1488\frontend\android","android","2","False","0","0"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\.claude\worktrees\intelligent-sutherland-9f1488\frontend\android\app","app","1","False","0","0"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\.claude\worktrees\intelligent-sutherland-9f1488\frontend\src-tauri","src-tauri","1","False","0","0"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\.claude\worktrees\jolly-feynman-9d174f\backend","backend","2","True","0","0"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\.claude\worktrees\jolly-feynman-9d174f\frontend","frontend","4","True","0","0"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\.claude\worktrees\jolly-feynman-9d174f\frontend\android","android","2","False","0","0"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\.claude\worktrees\jolly-feynman-9d174f\frontend\android\app","app","1","False","0","0"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\.claude\worktrees\jolly-feynman-9d174f\frontend\src-tauri","src-tauri","1","False","0","0"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\.claude\worktrees\musing-bartik-79ce5a\backend","backend","2","True","0","0"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\.claude\worktrees\musing-bartik-79ce5a\frontend","frontend","4","True","0","0"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\.claude\worktrees\musing-bartik-79ce5a\frontend\android","android","2","False","0","0"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\.claude\worktrees\musing-bartik-79ce5a\frontend\android\app","app","1","False","0","0"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\.claude\worktrees\musing-bartik-79ce5a\frontend\src-tauri","src-tauri","1","False","0","0"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\.claude\worktrees\reverent-hellman-fc7e32\backend","backend","2","True","0","0"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\.claude\worktrees\reverent-hellman-fc7e32\frontend","frontend","4","True","0","0"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\.claude\worktrees\reverent-hellman-fc7e32\frontend\android","android","2","False","0","0"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\.claude\worktrees\reverent-hellman-fc7e32\frontend\android\app","app","1","False","0","0"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\.claude\worktrees\reverent-hellman-fc7e32\frontend\src-tauri","src-tauri","1","False","0","0"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend","backend","2","True","0","0"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend","frontend","4","True","0","0"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\android","android","2","False","0","0"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\android\app","app","1","False","0","0"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\frontend\src-tauri","src-tauri","1","False","0","0"
