"UnmountedFile","UnmountedFamily","EndpointCount","MatchCount","MountedMatches","SignatureHash"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\adminRoutes.js","TOP_LEVEL_ROUTE","2","1","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\trackDartRoutes.js","06124cece1439ae759900587edb4b9cecf779e2196e4f5f4a57897716eb7408e"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\analyticsRoutes.js","TOP_LEVEL_ROUTE","2","1","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\trackDartRoutes.js","06124cece1439ae759900587edb4b9cecf779e2196e4f5f4a57897716eb7408e"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\apiDocumentationRoutes.js","TOP_LEVEL_ROUTE","2","1","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\trackDartRoutes.js","06124cece1439ae759900587edb4b9cecf779e2196e4f5f4a57897716eb7408e"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\auditLogRoutes.js","TOP_LEVEL_ROUTE","2","1","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\trackDartRoutes.js","06124cece1439ae759900587edb4b9cecf779e2196e4f5f4a57897716eb7408e"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\backupRoutes.js","TOP_LEVEL_ROUTE","2","1","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\trackDartRoutes.js","06124cece1439ae759900587edb4b9cecf779e2196e4f5f4a57897716eb7408e"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\bulkOperationRoutes.js","TOP_LEVEL_ROUTE","2","1","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\trackDartRoutes.js","06124cece1439ae759900587edb4b9cecf779e2196e4f5f4a57897716eb7408e"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\cacheRoutes.js","TOP_LEVEL_ROUTE","2","1","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\trackDartRoutes.js","06124cece1439ae759900587edb4b9cecf779e2196e4f5f4a57897716eb7408e"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\dataExportRoutes.js","TOP_LEVEL_ROUTE","2","1","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\trackDartRoutes.js","06124cece1439ae759900587edb4b9cecf779e2196e4f5f4a57897716eb7408e"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\ENDPOINT_MISMATCH_FIXER_COMPLETE.js","TOP_LEVEL_ROUTE","1","43","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\ar.js | C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\auditTrail.js | C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\automation.js | C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\biometric.js | C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\blockchainTrace.js | C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\bulkOrders.js | C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\certificationManagement.js | C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\climateAdvisory.js | C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\coldChainMonitoring.js | C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\complianceTracking.js | C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\dataVisualization.js | C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\ENDPOINT_MISMATCH_FIXER.js | C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\farmAnalytics.js | C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\financialAnalytics.js | C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\freightPooling.js | C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\greenhouse.js | C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\horticulture.js | C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\index.js | C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\iotSensors.js | C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\livestock.js | C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\loanManagement.js | C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\marketAnalytics.js | C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\mlOptimization.js | C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\nlp.js | C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\operationsRouteSupport.js | C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\phase10.js | C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\phase11.js | C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\phase12.js | C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\phase8.js | C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\phase9.js | C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\predictiveAnalytics.js | C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\productCertifications.js | C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\qualityAssurance.js | C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\riskAssessment.js | C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\sellerVerifications.js | C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\soilHealth.js | C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\supplyChainAnalytics.js | C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\supplyChainTracking.js | C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\unifiedAIGateway.js | C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\videoAnalytics.js | C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\vr.js | C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\warehouseManagement.js | C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\yieldManagement.js","74fac65f350e55c6eab7fce463c1dac2c69e32dbf56cdc0635ef7a8cd2da51b8"
"C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\errorLogRoutes.js","TOP_LEVEL_ROUTE","2","1","C:\Users\DIYA GOEL\Downloads\EBDESIGN\backend\src\routes\trackDartRoutes.js","06124cece1439ae759900587edb4b9cecf779e2196e4f5f4a57897716eb7408e"
